时间戳记	省份	城市	区县	学校名称	年级	每周在校学习小时数	每月假期天数	寒假放假天数	24年学生自杀数	上学时间	放学时间 含晚自习	寒假补课收费总价格	学生的评论
2025-2-3 下午02:08:39	安徽	安庆市	怀宁县	高河中学	11	138	0.5	25	0	上午06:40:00	上午11:00:00	0	学校领导是畜生
2025-2-3 上午03:12:12	安徽	蚌埠市	怀远县	包集中学	11	87	6	20	0	上午05:40:00	下午10:40:00	0	
2025-2-2 下午11:08:12	安徽	合肥市	包河区	第四中学	12	90	4	8	0	上午06:30:00	下午10:30:00	18000	
2025-2-3 上午03:23:00	安徽	宿州市	萧县	萧县实验高级中学	12	119	2	9	0	上午05:30:00	下午10:30:00	0	学校想要成绩想疯了，把学生当初生
2025-2-2 下午04:10:31	安徽	芜湖市	镜湖区	芜湖市第三中学	12	76	4	13	0	上午07:30:00	下午09:35:00	0	
2025-2-3 下午11:01:04	安徽	合肥市	瑶海区	合肥市育英高级中学	12	96	4	10	0	上午06:30:00	上午11:00:00	2000	学校晚自习是要上课的，而且会收晚自习的费用，周上课也会收费
2025-2-4 上午01:40:14	安徽	合肥市	滨湖区	合肥市第四十六中学	8	45	6	20	0	上午06:30:00	下午11:30:00	800	
2025-2-4 上午02:49:02	安徽	宿州市	灵璧县	灵璧中学	10	966	4	20	0	上午06:30:00	下午10:30:00	500	学校剥夺学生课外时间，体育器材类不让带到学校，甚至课间不让在走廊放风，
2025-2-4 上午03:04:27	安徽	宿州市	灵璧县	灵璧中学	10	90	4	20	0	上午06:30:00	上午10:30:00	500	学校拘束学生时间主动权，不允许学生带运动器材在学校锻炼，不时上课时间提前，周末星期日还有晚自习，在周日下午3点前要到班，实际每周休息时间不足一天
2025-2-2 下午09:08:53	安徽	滁州市	明光市	安徽省明光中学	10	94	2	13	1	上午07:00:00	下午11:00:00	500	
2025-2-3 上午05:14:45	安徽	阜阳市	颍州区	阜阳市第三中学	12	80	3	12	1	上午06:20:00	下午10:50:00	0	传奇阜阳三中之周六晚上十点半放到周日早上八点叫放假
2025-2-3 下午01:10:45	安徽	宿州市	埇桥区	宿城一中	12	100	4	20	1	上午07:00:00	下午10:40:00	0	
2025-2-3 下午09:32:21	安徽	安庆市	怀宁县	怀宁中学	11	102	19	19	1	上午06:40:00	上午11:00:00	0	怀中老师夏三五收受礼品8000元
2025-2-3 下午09:43:01	安徽	安庆市	怀宁县	高河中学	11	112	0.5	25	1	上午06:40:00	上午10:30:00	0	高二每个班老师基本上收受贿赂5000元（以上为更正后无误的内容）
2025-2-3 下午12:53:42	安徽	蚌埠市	怀远县	安徽省蚌埠市怀远县第一中学	11	104	4	20	2	上午06:50:00	上午10:50:00	800	
2025-2-3 下午06:44:59	安徽	合肥市	滨湖区	合肥市第一中学	12	70	4	15	2	上午06:50:00	上午10:30:00	10000	监狱
2025-2-4 上午01:32:31	安徽	亳州市	利辛县	利辛高级中学	12	104	2	11	2	上午06:30:00	下午10:30:00	0	我是个废物，已经休学了，这辈子都是废人
2025-2-2 上午10:26:21	安徽	阜阳市	太和县	安徽省太和县第一中学	10	108	0	3	3	上午05:50:00	上午11:00:00	2000	经常会用文革时批斗了的方式压力学生
2025-2-3 上午10:05:46	安徽	蚌埠市	蚌山区	二十六中学（初中）	9	80	0	0	5	上午07:00:00	下午08:00:00	2000	政治课女老师（唐春）私下强制补课，收班里学生补课费用，私下收礼物，区别对待学生
2025-2-2 上午06:19:35	安徽	池州市	青阳县	安徽省青阳中学	12	106	0	3	有				典中典收费补课😆😆😆家长联合会更是一群唇珠
2025-2-2 下午08:38:18	北京	北京	朝阳区	北京中学	9	75	4	23	0	上午07:30:00	下午08:30:00	200	
